RCS,DATE,EFFECTIFS,NATURE
823869722,2021-04-09,12,jugement de clôture pour insuffisance d'actif
484644950,2021-04-13,12,jugement de conversion en liquidation judiciaire
702820770,2021-04-14,12,jugement d'ouverture de liquidation judiciaire
453020380,2021-04-12,12,jugement de conversion en liquidation judiciaire
524077286,2021-04-12,12,jugement de conversion en liquidation judiciaire
504935289,2021-04-07,12,jugement de conversion en liquidation judiciaire
519846687,2021-04-14,12,jugement de conversion en liquidation judiciaire
500531249,2021-04-14,12,jugement de conversion en liquidation judiciaire
498483668,2021-04-14,12,jugement de conversion en liquidation judiciaire
494442338,2021-04-14,12,jugement de conversion en liquidation judiciaire
444474035,2021-04-20,12,jugement de conversion en liquidation judiciaire
534403399,2021-04-14,12,jugement de conversion en liquidation judiciaire
330345927,2021-04-14,12,jugement de conversion en liquidation judiciaire
393612999,2021-04-06,12,jugement de conversion en liquidation judiciaire
513465005,2021-04-13,12,jugement d'ouverture de liquidation judiciaire
439028846,2021-04-19,12,jugement de clôture pour insuffisance d'actif
528375983,2021-04-12,12,jugement d'ouverture de liquidation judiciaire
400595385,2021-04-22,12,jugement de clôture pour insuffisance d'actif
511034274,2021-04-14,12,jugement de clôture pour insuffisance d'actif
504889866,2021-04-20,12,jugement d'ouverture de liquidation judiciaire
529862534,2021-04-21,12,jugement de clôture pour insuffisance d'actif
305240681,2021-04-08,12,jugement d'ouverture de liquidation judiciaire
387935505,2021-04-14,12,jugement de conversion en liquidation judiciaire
481562353,2021-04-13,12,jugement de conversion en liquidation judiciaire
497280131,2021-04-28,12,jugement de conversion en liquidation judiciaire
814454971,2021-04-15,12,jugement de clôture pour insuffisance d'actif
451307797,2021-04-15,12,jugement de clôture pour insuffisance d'actif
324571173,2021-04-30,12,jugement de conversion en liquidation judiciaire
654800697,2021-04-27,12,jugement de conversion en liquidation judiciaire
792405763,2021-05-04,12,jugement d'ouverture de liquidation judiciaire
320154701,2021-05-04,12,jugement de clôture pour insuffisance d'actif
505397190,2021-05-04,12,jugement de conversion en liquidation judiciaire
840687552,2021-05-04,12,jugement de conversion en liquidation judiciaire
447778176,2021-05-05,12,jugement d'ouverture de liquidation judiciaire
838881217,2021-04-30,12,jugement de clôture pour insuffisance d'actif
494080716,2021-05-03,12,jugement d'ouverture de liquidation judiciaire
488045022,2021-05-12,12,jugement de clôture pour insuffisance d'actif
478501679,2021-05-06,12,jugement de clôture pour insuffisance d'actif
839807591,2021-05-10,12,jugement de conversion en liquidation judiciaire
539841072,2021-05-04,12,jugement de conversion en liquidation judiciaire
828054791,2021-05-06,12,jugement d'ouverture de liquidation judiciaire
499591857,2021-05-10,12,jugement de clôture pour insuffisance d'actif
833974108,2021-05-10,12,jugement d'ouverture de liquidation judiciaire
816270334,2021-05-11,12,jugement de conversion en liquidation judiciaire
525359352,2021-05-03,12,jugement d'ouverture de liquidation judiciaire
788522928,2021-05-07,12,jugement de clôture pour insuffisance d'actif
432042802,2021-05-12,12,jugement de clôture pour insuffisance d'actif
778488510,2021-04-30,12,jugement de conversion en liquidation judiciaire
530644699,2021-05-17,12,jugement d'ouverture de liquidation judiciaire
450104724,2021-05-18,12,jugement de conversion en liquidation judiciaire
443779913,2021-05-17,12,jugement d'ouverture de liquidation judiciaire
503536302,2021-05-25,12,jugement de conversion en liquidation judiciaire
344488622,2021-05-18,12,jugement de conversion en liquidation judiciaire
449439066,2021-05-25,12,jugement de conversion en liquidation judiciaire
522088020,2021-05-27,12,jugement d'ouverture de liquidation judiciaire
809953193,2021-05-21,12,jugement de clôture pour insuffisance d'actif
537860751,2021-05-31,12,jugement d'ouverture de liquidation judiciaire
380431098,2021-05-26,12,jugement de conversion en liquidation judiciaire
810557967,2021-05-25,12,jugement de clôture pour insuffisance d'actif
432311702,2021-05-28,12,jugement d'ouverture de liquidation judiciaire
420913030,2021-06-01,12,jugement de clôture pour insuffisance d'actif
327560934,2021-05-20,12,jugement de conversion en liquidation judiciaire
828708560,2021-05-26,12,jugement d'ouverture de liquidation judiciaire
810971531,2021-05-20,12,jugement d'ouverture de liquidation judiciaire
519495980,2021-05-31,12,jugement d'ouverture de liquidation judiciaire
404869406,2021-05-12,12,jugement de clôture pour insuffisance d'actif
822879045,2021-06-04,12,jugement de conversion en liquidation judiciaire
481395754,2021-06-08,12,jugement de conversion en liquidation judiciaire
342660800,2021-05-27,12,jugement de clôture pour insuffisance d'actif
828501148,2021-06-09,12,jugement d'ouverture de liquidation judiciaire
790024202,2021-06-03,12,jugement d'ouverture de liquidation judiciaire
532671260,2021-06-08,12,jugement d'ouverture de liquidation judiciaire
315710194,2021-05-28,12,jugement de conversion en liquidation judiciaire
839115490,2021-04-12,12,jugement d'ouverture de liquidation judiciaire
676880404,2021-04-26,12,jugement d'ouverture de liquidation judiciaire
