SIREN,SIRET,NOM,EFFECTIF,CP,VILLE1,PAYS
325845048,32584504800025,LAMBERT SAS,03,95200,SARCELLES,NULL
342528429,34252842900018,SOCIETE ETUDES CONSTRUCTIONS MAINTENANCE MACHINES OUTILS,03,40000,MONT-DE-MARSAN,NULL
353566987,35356698700031,PRYOR TECHNOLOGIE,03,91140,VILLEBON-SUR-YVETTE,NULL
389379090,38937909000019,OUTICABLES,03,25300,PONTARLIER,NULL
391967304,39196730400026,MAINTENANCE GEOMETRIE APPLIQUEE M G A,03,69800,SAINT-PRIEST,NULL
393552344,39355234400011,GAMMES DE MACHINES SPECIALES,03,01700,SAINT-MAURICE-DE-BEYNOST,NULL
414029645,41402964500028,SOUDO SERVICE,03,54740,BENNEY,NULL
422043497,42204349700029,AMB PICOT,03,69210,LENTILLY,NULL
432497113,43249711300014,LBM SOCIETE NOUVELLE,03,18100,VIERZON,NULL
433756145,43375614500010,C.M.S CONSTRUCTION MACHINES SPECIALES,03,89400,MIGENNES,NULL
450664867,45066486700014,SARL GAUTIER,03,78410,BOUAFLE,NULL
596712190,59671219000013,,03,41400,SAINT-GEORGES-SUR-CHER,NULL
596712190,59671219000021,,03,37310,REIGNAC-SUR-INDRE,NULL
794204909,79420490900012,USINAGE MAINTENANCE CARAIBES,03,97122,BAIE-MAHAULT,NULL
801686155,80168615500038,CHRONO LASER,03,59110,LA MADELEINE,NULL
815014311,81501431100014,ID CONCEPT,03,51200,EPERNAY,NULL
821943008,82194300800010,RGI FRANCE,03,46400,SAINT-CERE,NULL
831599899,83159989900026,"""FSM FRANCE CO.",03,60230,CHAMBLY,NULL
304368202,30436820200129,SOCIETE DE PRODUCTION ET VENTE D EQUIPEMENTS INDUSTRIELS,02,91630,GUIBEVILLE,NULL
315588392,31558839200052,SOCIETE ALSAC APPLICATIONS MATHEMATIQUES,02,69780,MIONS,NULL
397736125,39773612500030,AUTOMATISMES MAINTENANCE MACHINES-OUTILS,02,44115,HAUTE-GOULAINE,NULL
400021879,40002187900020,SAVOIE INDUSTRIE,02,74330,EPAGNY METZ-TESSY,NULL
402861785,40286178500036,PASQUIER MECANIQUE HYDRAULIQUE INDUSTRIE,02,51160,AY-CHAMPAGNE,NULL
409487915,40948791500038,MAINTENANCE ET ASSISTANCE DU HAUT PILAT,02,42700,FIRMINY,NULL
409759594,40975959400024,A.T.M.,02,77130,VARENNES-SUR-SEINE,NULL
410318281,41031828100038,MANUMAINT,02,77100,MEAUX,NULL
412219909,41221990900022,BSB,02,61100,FLERS,NULL
419060322,41906032200015,REINHARDT MASCHINENBAU,02,,,ALLEMAGNE
420910770,42091077000064,MCN MACHINES OUTILS,02,62300,LENS,NULL
424603819,42460381900014,MAINTENANCE ET CONCEPT INDUSTRIEL 35,02,35580,GOVEN,NULL
442184313,44218431300025,OPTIM TECHNOLOGIES,02,38500,VOIRON,NULL
479924789,47992478900015,SOC NOUV RENOVATION MONTELS SNRM,02,46400,SAINT-CERE,NULL
480863083,48086308300014,R.C.M.,02,18000,BOURGES,NULL
482880788,48288078800013,ATRAM LASER,02,62840,FLEURBAIX,NULL
490734761,49073476100029,EMCI,02,19100,BRIVE-LA-GAILLARDE,NULL
501715940,50171594000034,CONCEPTION ET FABRICATION D'OUTILLAGE,02,30720,RIBAUTE-LES-TAVERNES,NULL
523601698,52360169800013,EROC,02,47140,TRENTELS,NULL
531726560,53172656000034,IER,02,44980,SAINTE-LUCE-SUR-LOIRE,NULL
535076111,53507611100033,PURE ULTRASONIC SYSTEMS,02,73370,LE BOURGET-DU-LAC,NULL
612041079,61204107900023,ETABLISSEMENTS LOUIS DUPORT,02,95420,MAGNY-EN-VEXIN,NULL
789835964,78983596400022,ISAA-TECH,02,27110,QUITTEBEUF,NULL
839477940,83947794000010,OUTINEXT,02,38700,LE SAPPEY-EN-CHARTREUSE,NULL
839615564,83961556400029,ZCC CUTTING TOOLS EUROPE GMBH,02,18000,BOURGES,NULL
964505093,96450509300010,ETS GRANGIER,02,69003,LYON 3EME,NULL
320735236,32073523600012,VIGNAUD AFFUTEUSES,01,87200,SAINT-JUNIEN,NULL
333613115,33361311500059,SOC ETUDES REALISATIONS TECHNIQUES,01,42000,SAINT-ETIENNE,NULL
334784386,33478438600016,PILOTE TECHNOLOGIES,01,77185,LOGNES,NULL
342526969,34252696900031,SOMAG METAL INDUSTRIE,01,47240,BON-ENCONTRE,NULL
382318285,38231828500022,R M O,01,54118,MOYEN,NULL
392418695,39241869500020,RETEC MACHINES,01,68190,ENSISHEIM,NULL
393543624,39354362400034,SOCIETE D'ASSISTANCE ET DE MAINTENANCE EN SCIAGE,01,74800,LA ROCHE-SUR-FORON,NULL
398440099,39844009900040,CEGMI,01,95310,SAINT OUEN L'AUMONE,NULL
402250468,40225046800012,RECHERCHE ETUDE MATERIEL INDUSTRIEL-REMI,01,74800,SAINT-PIERRE-EN-FAUCIGNY,NULL
411269616,41126961600024,NICOLAS MAINTENANCE INDUSTRIELLE,01,21150,DARCEY,NULL
418354874,41835487400053,REALISATIONS INDUSTRIELLES ET MECANIQUES - R.I.M.,01,38260,MARCILLOLES,NULL
419019781,41901978100030,FRAMAR INDUSTRIE,01,87270,COUZEIX,NULL
428875256,42887525600029,APSM,01,01360,BALAN,NULL
443743364,44374336400020,AVYAC MACHINES,01,42340,VEAUCHE,NULL
473502508,47350250800038,HACO,01,27130,VERNEUIL D'AVRE ET D'ITON,NULL
477708218,47770821800011,LASCO UMFORMTECHNIK GMBH,01,,,ALLEMAGNE
480989144,48098914400021,COEX CONCEPTION METALLERIE MAINTENANCE,01,85220,COEX,NULL
481463719,48146371900023,SOCIETE ALSACIENNE DE MACHINES OUTILS,01,67500,HAGUENAU,NULL
490600434,49060043400016,DEPANNAGE MAINTENANCE CONCEPT           ET PAR ABREVIATION  D.M.C,01,31140,LAUNAGUET,NULL
490997798,49099779800023,SECOSER,01,01480,JASSANS-RIOTTIER,NULL
493625768,49362576800012,HOFMANN MESS UND AUSWUCHTTECHNIK GMBH,01,,,ALLEMAGNE
502865801,50286580100018,SEF INDUSTRIE,01,71420,GENELARD,NULL
504506312,50450631200025,SARL JEANPERRIN,01,25260,LOUGRES,NULL
505347633,50534763300024,BAUDRAND NEW TECH EUROPE,01,69009,LYON 9EME,NULL
518115704,51811570400018,ACREA'S,01,91150,ETAMPES,NULL
572112324,57211232400163,SILCA,01,01500,CHATEAU-GAILLARD,NULL
622008696,62200869600057,SOC OUTILLAG PRECISION ACCESS MECANIQ,01,91310,LINAS,NULL
791006067,79100606700031,CIM ATLANTIQUE,01,44119,GRANDCHAMPS-DES-FONTAINES,NULL
800540205,80054020500039,USINAGE CHAUDRONNERIE SUR SITE,01,91490,MILLY-LA-FORET,NULL
803660695,80366069500013,SOCIETE COOPERATIVE D'OUTILLAGE MECANIQUE 25,01,25480,PIREY,NULL
810929067,81092906700025,JLS USINAGE DE PRECISION,01,67230,OBENHEIM,NULL
828302224,82830222400013,6348017 CANADA INC,01,,,CANADA
832024350,83202435000023,STIRWELD,01,35170,BRUZ,NULL
833204118,83320411800032,MCE GMBH,01,31700,BLAGNAC,NULL
838409084,83840908400012,MCP INDUSTRIE,01,12450,CALMONT,NULL
843310335,84331033500016,PRECIS JET D'O,01,25410,SAINT-VIT,NULL
