DATE,EFFECTIFS
2014-12-19,03
2014-12-22,03
2015-01-06,11
2015-01-07,12
2015-01-07,11
2015-01-08,03
2015-01-08,03
2015-01-08,03
2015-01-09,03
2015-01-12,03
2015-01-13,03
2015-01-13,03
2015-01-13,03
2015-01-14,03
2015-01-15,03
2015-01-16,11
2015-01-19,03
2015-01-20,03
2015-01-20,11
2015-01-22,12
2015-01-22,03
2015-01-23,11
2015-01-27,03
2015-01-27,11
2015-01-27,11
2015-01-27,03
2015-01-28,11
2015-01-28,03
2015-01-28,03
2015-01-28,03
2015-02-02,11
2015-02-03,11
2015-02-04,12
2015-02-04,03
2015-02-05,12
2015-02-05,03
2015-02-05,11
2015-02-05,03
2015-02-09,03
2015-02-10,03
2015-02-11,03
2015-02-12,03
2015-02-12,03
2015-02-13,11
2015-02-13,03
2015-02-16,11
2015-02-17,03
2015-02-17,12
2015-02-17,03
2015-02-17,12
2015-02-18,11
2015-02-18,12
2015-02-18,03
2015-02-19,03
2015-02-24,12
2015-02-24,03
2015-02-24,03
2015-02-24,03
2015-02-24,03
2015-02-25,03
2015-02-25,11
2015-02-26,11
2015-02-26,03
2015-03-02,11
2015-03-02,03
2015-03-02,03
2015-03-03,11
2015-03-03,03
2015-03-03,03
2015-03-03,11
2015-03-04,11
2015-03-04,03
2015-03-04,03
2015-03-04,11
2015-03-04,03
2015-03-06,03
2015-03-06,11
2015-03-10,11
2015-03-10,03
2015-03-10,03
2015-03-10,03
2015-03-10,11
2015-03-10,11
2015-03-11,03
2015-03-11,03
2015-03-11,11
2015-03-12,03
2015-03-12,11
2015-03-13,11
2015-03-13,11
2015-03-16,11
2015-03-16,03
2015-03-16,11
2015-03-16,03
2015-03-17,11
2015-03-17,03
2015-03-17,03
2015-03-17,03
2015-03-17,03
2015-03-17,11
2015-03-18,03
2015-03-18,03
2015-03-18,03
2015-03-18,11
2015-03-18,11
2015-03-18,11
2015-03-19,11
2015-03-20,12
2015-03-20,11
2015-03-20,03
2015-03-23,11
2015-03-23,03
2015-03-24,03
2015-03-24,03
2015-03-25,11
2015-03-25,11
2015-03-25,11
2015-03-25,03
2015-03-25,03
2015-03-26,03
2015-03-26,03
2015-03-26,11
2015-03-27,12
2015-03-27,11
2015-03-27,12
2015-03-30,12
2015-03-30,03
2015-03-30,03
2015-03-31,03
2015-03-31,12
2015-03-31,12
2015-03-31,03
2015-03-31,03
2015-04-01,03
2015-04-01,03
2015-04-01,03
2015-04-01,03
2015-04-01,03
2015-04-01,03
2015-04-02,11
2015-04-03,11
2015-04-07,12
2015-04-07,11
2015-04-08,11
2015-04-08,03
2015-04-08,12
2015-04-09,03
2015-04-10,03
2015-04-10,11
2015-04-13,03
2015-04-13,03
2015-04-14,11
2015-04-14,03
2015-04-14,03
2015-04-14,03
2015-04-15,11
2015-04-15,11
2015-04-15,11
2015-04-15,11
2015-04-16,21
2015-04-16,11
2015-04-17,11
2015-04-21,12
2015-04-21,03
2015-04-21,03
2015-04-22,11
2015-04-22,11
2015-04-22,11
2015-04-22,11
2015-04-22,03
2015-04-22,03
2015-04-23,03
2015-04-23,03
2015-04-23,11
2015-04-24,12
2015-04-27,03
2015-04-27,03
2015-04-27,03
2015-04-27,03
2015-04-27,11
2015-04-28,03
2015-04-28,11
2015-04-28,03
2015-04-30,11
2015-04-30,03
2015-05-04,11
2015-05-04,03
2015-05-05,03
2015-05-05,03
2015-05-05,11
2015-05-05,03
2015-05-06,03
2015-05-06,03
2015-05-06,11
2015-05-06,03
2015-05-06,11
2015-05-06,11
2015-05-06,03
2015-05-07,03
2015-05-07,03
2015-05-07,03
2015-05-11,03
2015-05-12,03
2015-05-13,11
2015-05-19,11
2015-05-20,11
2015-05-20,03
2015-05-22,03
2015-05-26,03
2015-05-26,12
2015-05-26,11
2015-05-26,12
2015-05-26,03
2015-05-27,03
2015-05-27,11
2015-05-27,03
2015-05-27,11
2015-05-27,03
2015-05-27,03
2015-05-28,03
2015-05-28,12
2015-06-01,03
2015-06-01,03
2015-06-01,11
2015-06-01,03
2015-06-01,03
2015-06-01,03
2015-06-01,03
2015-06-01,03
2015-06-02,03
2015-06-02,11
2015-06-02,11
2015-06-02,03
2015-06-02,03
2015-06-02,12
2015-06-02,11
2015-06-02,12
2015-06-03,03
2015-06-03,11
2015-06-03,03
2015-06-03,03
2015-06-03,11
2015-06-03,03
2015-06-03,11
2015-06-04,03
2015-06-04,03
2015-06-04,03
2015-06-04,11
2015-06-05,11
2015-06-08,03
2015-06-08,03
2015-06-08,11
2015-06-09,03
2015-06-09,03
2015-06-09,11
2015-06-09,12
2015-06-09,03
2015-06-10,03
2015-06-10,11
2015-06-10,11
2015-06-10,11
2015-06-10,03
2015-06-10,03
2015-06-10,03
2015-06-10,03
2015-06-10,11
2015-06-10,11
2015-06-12,12
2015-06-12,03
2015-06-15,03
2015-06-15,12
2015-06-16,03
2015-06-16,03
2015-06-16,03
2015-06-16,21
2015-06-16,03
2015-06-16,11
2015-06-16,12
2015-06-17,03
2015-06-17,03
2015-06-17,11
2015-06-17,11
2015-06-17,03
2015-06-17,11
2015-06-17,11
2015-06-17,03
2015-06-17,21
2015-06-18,03
2015-06-19,11
2015-06-19,03
2015-06-22,11
2015-06-23,21
2015-06-23,03
2015-06-23,11
2015-06-23,11
2015-06-23,03
2015-06-23,03
2015-06-23,03
2015-06-23,03
2015-06-24,11
2015-06-24,03
2015-06-24,12
2015-06-24,11
2015-06-24,03
2015-06-24,03
2015-06-24,03
2015-06-25,03
2015-06-25,11
2015-06-26,12
2015-06-29,11
2015-06-29,11
2015-06-29,03
2015-06-29,03
2015-06-30,03
2015-06-30,11
2015-06-30,11
2015-06-30,11
2015-06-30,12
2015-06-30,11
2015-07-01,03
2015-07-01,03
2015-07-01,03
2015-07-01,12
2015-07-01,11
2015-07-01,03
2015-07-02,11
2015-07-02,03
2015-07-06,03
2015-07-06,12
2015-07-06,11
2015-07-06,11
2015-07-06,11
2015-07-07,11
2015-07-07,03
2015-07-07,03
2015-07-07,03
2015-07-07,03
2015-07-07,03
2015-07-07,11
2015-07-08,03
2015-07-08,12
2015-07-08,03
2015-07-08,11
2015-07-08,11
2015-07-08,21
2015-07-08,03
2015-07-08,03
2015-07-08,12
2015-07-08,03
2015-07-08,03
2015-07-08,11
2015-07-08,03
2015-07-08,11
2015-07-10,03
2015-07-10,03
2015-07-13,03
2015-07-15,11
2015-07-15,11
2015-07-15,12
2015-07-15,11
2015-07-15,11
2015-07-16,11
2015-07-16,11
2015-07-16,03
2015-07-16,11
2015-07-16,11
2015-07-16,11
2015-07-17,03
2015-07-17,12
2015-07-17,22
2015-07-17,12
2015-07-20,12
2015-07-20,11
2015-07-20,11
2015-07-21,11
2015-07-21,03
2015-07-21,03
2015-07-21,03
2015-07-21,11
2015-07-21,11
2015-07-21,03
2015-07-21,03
2015-07-21,12
2015-07-21,11
2015-07-21,11
2015-07-21,03
2015-07-22,03
2015-07-22,11
2015-07-22,11
2015-07-22,03
2015-07-22,03
2015-07-22,03
2015-07-22,03
2015-07-22,03
2015-07-22,12
2015-07-22,03
2015-07-22,03
2015-07-22,03
2015-07-23,12
2015-07-23,11
2015-07-23,03
2015-07-23,03
2015-07-24,03
2015-07-24,03
2015-07-24,12
2015-07-27,03
2015-07-27,03
2015-07-27,03
2015-07-27,03
2015-07-27,03
2015-07-27,11
2015-07-28,03
2015-07-28,11
2015-07-28,11
2015-07-28,03
2015-07-29,03
2015-07-29,11
2015-07-29,03
2015-07-29,03
2015-07-29,03
2015-07-30,12
2015-07-30,11
2015-07-30,03
2015-07-30,11
2015-07-30,03
2015-07-30,11
2015-07-30,11
2015-07-30,03
2015-07-30,03
2015-07-31,11
2015-08-03,11
2015-08-03,03
2015-08-04,03
2015-08-05,11
2015-08-05,11
2015-08-05,11
2015-08-05,11
2015-08-05,03
2015-08-05,03
2015-08-06,03
2015-08-06,03
2015-08-11,11
2015-08-11,11
2015-08-12,11
2015-08-13,03
2015-08-14,12
2015-08-18,03
2015-08-18,11
2015-08-19,03
2015-08-24,03
2015-08-24,11
2015-08-24,11
2015-08-25,11
2015-08-25,03
2015-08-26,03
2015-08-26,11
2015-08-26,11
2015-08-26,11
2015-08-27,03
2015-08-31,11
2015-09-01,03
2015-09-01,03
2015-09-01,03
2015-09-02,03
2015-09-02,12
2015-09-02,12
2015-09-02,03
2015-09-02,11
2015-09-02,03
2015-09-02,03
2015-09-03,03
2015-09-03,03
2015-09-04,03
2015-09-04,11
2015-09-07,03
2015-09-07,03
2015-09-07,03
2015-09-07,03
2015-09-07,03
2015-09-07,11
2015-09-08,03
2015-09-08,03
2015-09-08,12
2015-09-08,03
2015-09-08,12
2015-09-09,03
2015-09-09,11
2015-09-09,03
2015-09-09,03
2015-09-09,11
2015-09-09,03
2015-09-09,12
2015-09-09,11
2015-09-09,11
2015-09-10,03
2015-09-10,12
2015-09-10,12
2015-09-10,03
2015-09-10,11
2015-09-11,03
2015-09-14,11
2015-09-14,03
2015-09-14,11
2015-09-14,03
2015-09-14,11
2015-09-15,11
2015-09-15,03
2015-09-15,03
2015-09-15,03
2015-09-15,12
2015-09-15,11
2015-09-16,03
2015-09-16,12
2015-09-16,11
2015-09-16,11
2015-09-16,03
2015-09-16,03
2015-09-16,03
2015-09-16,11
2015-09-17,11
2015-09-17,03
2015-09-17,11
2015-09-17,03
2015-09-17,11
2015-09-18,11
2015-09-21,03
2015-09-21,03
2015-09-21,03
2015-09-21,03
2015-09-22,11
2015-09-22,12
2015-09-22,11
2015-09-22,03
2015-09-22,11
2015-09-22,12
2015-09-22,03
2015-09-23,11
2015-09-23,03
2015-09-23,11
2015-09-23,12
2015-09-23,11
2015-09-23,03
2015-09-24,03
2015-09-24,12
2015-09-24,03
2015-09-24,11
2015-09-24,03
2015-09-24,11
2015-09-25,11
2015-09-25,03
2015-09-28,03
2015-09-28,11
2015-09-28,11
2015-09-28,12
2015-09-29,03
2015-09-29,03
2015-09-29,11
2015-09-29,03
2015-09-29,03
2015-09-29,11
2015-09-29,12
2015-09-29,12
2015-09-30,12
2015-09-30,11
2015-09-30,03
2015-09-30,11
2015-09-30,03
2015-09-30,03
2015-09-30,11
2015-09-30,03
2015-09-30,12
2015-09-30,03
2015-09-30,03
2015-09-30,03
2015-09-30,03
2015-09-30,03
2015-09-30,03
2015-09-30,03
2015-09-30,03
2015-09-30,03
2015-09-30,12
2015-10-01,11
2015-10-01,11
2015-10-01,11
2015-10-02,03
2015-10-02,12
2015-10-02,03
2015-10-05,11
2015-10-05,11
2015-10-05,03
2015-10-05,11
2015-10-05,03
2015-10-05,03
2015-10-06,11
2015-10-06,03
2015-10-06,11
2015-10-06,03
2015-10-06,03
2015-10-06,03
2015-10-06,03
2015-10-06,03
2015-10-06,11
2015-10-06,03
2015-10-06,03
2015-10-06,11
2015-10-07,11
2015-10-07,03
2015-10-07,03
2015-10-07,03
2015-10-07,03
2015-10-07,11
2015-10-07,03
2015-10-07,12
2015-10-08,03
2015-10-08,03
2015-10-08,11
2015-10-08,03
2015-10-08,11
2015-10-08,03
2015-10-08,12
2015-10-09,11
2015-10-09,12
2015-10-12,11
2015-10-12,21
2015-10-12,03
2015-10-12,11
2015-10-12,03
2015-10-13,03
2015-10-13,03
2015-10-13,03
2015-10-13,12
2015-10-13,12
2015-10-13,11
2015-10-13,03
2015-10-13,03
2015-10-13,11
2015-10-13,03
2015-10-14,12
2015-10-14,03
2015-10-14,12
2015-10-14,03
2015-10-14,03
2015-10-14,11
2015-10-14,03
2015-10-14,03
2015-10-14,11
2015-10-14,03
2015-10-14,03
2015-10-15,11
2015-10-15,12
2015-10-15,03
2015-10-16,03
2015-10-16,03
2015-10-19,03
2015-10-19,11
2015-10-20,03
2015-10-20,03
2015-10-20,03
2015-10-20,03
2015-10-20,03
2015-10-21,03
2015-10-21,11
2015-10-21,12
2015-10-21,11
2015-10-21,12
2015-10-21,03
2015-10-21,03
2015-10-22,03
2015-10-22,03
2015-10-22,11
2015-10-22,03
2015-10-23,03
2015-10-26,03
2015-10-26,03
2015-10-26,12
2015-10-26,03
2015-10-26,03
2015-10-27,11
2015-10-27,03
2015-10-27,03
2015-10-28,03
2015-10-28,11
2015-10-28,03
2015-10-28,12
2015-10-28,11
2015-10-29,11
2015-10-29,03
2015-10-29,11
2015-10-29,11
2015-10-29,11
2015-10-29,03
2015-11-02,03
2015-11-02,03
2015-11-02,03
2015-11-02,03
2015-11-02,11
2015-11-03,03
2015-11-03,03
2015-11-03,11
2015-11-03,03
2015-11-04,11
2015-11-04,12
2015-11-04,03
2015-11-04,12
2015-11-04,11
2015-11-05,11
2015-11-05,03
2015-11-05,03
2015-11-05,12
2015-11-05,11
2015-11-05,03
2015-11-05,03
2015-11-06,11
2015-11-06,12
2015-11-06,03
2015-11-09,03
2015-11-10,11
2015-11-10,11
2015-11-10,11
2015-11-10,11
2015-11-10,03
2015-11-10,11
2015-11-10,03
2015-11-10,11
2015-11-10,11
2015-11-10,03
2015-11-10,03
2015-11-10,03
2015-11-12,12
2015-11-12,03
2015-11-12,12
2015-11-12,11
2015-11-12,03
2015-11-13,03
2015-11-13,03
2015-11-16,03
2015-11-16,03
2015-11-16,03
2015-11-16,12
2015-11-16,12
2015-11-16,03
2015-11-16,03
2015-11-16,11
2015-11-16,11
2015-11-16,03
2015-11-16,12
2015-11-17,11
2015-11-17,21
2015-11-17,12
2015-11-17,03
2015-11-17,03
2015-11-17,12
2015-11-17,03
2015-11-17,11
2015-11-18,11
2015-11-18,03
2015-11-18,12
2015-11-18,03
2015-11-18,03
2015-11-18,11
2015-11-18,11
2015-11-18,11
2015-11-18,03
2015-11-18,03
2015-11-18,03
2015-11-18,03
2015-11-19,03
2015-11-19,03
2015-11-19,11
2015-11-19,03
2015-11-19,03
2015-11-20,12
2015-11-23,11
2015-11-23,03
2015-11-23,03
2015-11-23,03
2015-11-24,03
2015-11-24,03
2015-11-24,03
2015-11-24,11
2015-11-24,12
2015-11-24,03
2015-11-24,11
2015-11-24,03
2015-11-24,11
2015-11-24,03
2015-11-24,03
2015-11-25,03
2015-11-25,03
2015-11-25,11
2015-11-25,11
2015-11-25,11
2015-11-25,03
2015-11-25,11
2015-11-25,03
2015-11-25,03
2015-11-26,03
2015-11-26,03
2015-11-26,03
2015-11-26,11
2015-11-26,12
2015-11-26,03
2015-11-27,12
2015-12-01,03
2015-12-01,03
2015-12-01,03
2015-12-01,12
2015-12-01,11
2015-12-01,11
2015-12-01,03
2015-12-01,11
2015-12-02,03
2015-12-02,12
2015-12-02,03
2015-12-03,11
2015-12-03,03
2015-12-03,21
2015-12-03,03
2015-12-03,03
2015-12-03,03
2015-12-03,21
2015-12-03,03
2015-12-04,21
2015-12-04,11
2015-12-04,03
2015-12-04,03
2015-12-07,11
2015-12-07,03
2015-12-07,03
2015-12-07,03
2015-12-07,11
2015-12-07,03
2015-12-07,03
2015-12-08,03
2015-12-08,03
2015-12-08,03
2015-12-08,03
2015-12-08,03
2015-12-08,03
2015-12-08,03
2015-12-08,03
2015-12-09,03
2015-12-09,03
2015-12-09,03
2015-12-09,03
2015-12-09,11
2015-12-10,03
2015-12-10,03
2015-12-10,11
2015-12-10,11
2015-12-10,03
2015-12-14,03
2015-12-14,11
2015-12-15,03
2015-12-15,11
2015-12-15,11
2015-12-15,11
2015-12-15,03
2015-12-15,03
2015-12-16,03
2015-12-16,03
2015-12-16,03
2015-12-16,12
2015-12-16,03
2015-12-16,03
2015-12-16,03
2015-12-16,11
2015-12-16,11
2015-12-16,03
2015-12-16,03
2015-12-17,11
2015-12-17,11
2015-12-17,03
2015-12-17,03
2015-12-18,03
2015-12-18,11
2015-12-18,12
2015-12-21,11
2015-12-21,03
2015-12-21,11
2015-12-21,11
2015-12-22,03
2015-12-22,11
2015-12-22,12
2015-12-22,03
2015-12-22,11
2015-12-22,12
2015-12-22,11
2015-12-22,12
2015-12-22,11
2015-12-23,12
2015-12-23,03
2015-12-29,03
2015-12-29,11
2015-12-30,11
2016-01-04,03
2016-01-04,11
2016-01-04,03
2016-01-04,12
2016-01-05,11
2016-01-05,12
2016-01-05,11
2016-01-05,03
2016-01-05,03
2016-01-06,11
2016-01-06,03
2016-01-06,03
2016-01-06,03
2016-01-07,03
2016-01-07,12
2016-01-07,03
2016-01-07,03
2016-01-07,03
2016-01-07,03
2016-01-07,03
2016-01-07,03
2016-01-08,12
2016-01-08,03
2016-01-11,21
2016-01-11,03
2016-01-11,03
2016-01-11,11
2016-01-12,03
2016-01-12,03
2016-01-13,03
2016-01-13,21
2016-01-13,03
2016-01-13,03
2016-01-13,11
2016-01-13,03
2016-01-13,11
2016-01-14,03
2016-01-14,11
2016-01-14,03
2016-01-14,03
2016-01-14,03
2016-01-14,03
2016-01-14,03
2016-01-14,03
2016-01-15,03
2016-01-15,11
2016-01-15,03
2016-01-15,11
2016-01-18,11
2016-01-18,03
2016-01-19,03
2016-01-19,12
2016-01-19,03
2016-01-19,03
2016-01-19,03
2016-01-19,03
2016-01-20,03
2016-01-20,11
2016-01-20,03
2016-01-20,11
2016-01-20,03
2016-01-20,11
2016-01-20,03
2016-01-20,03
2016-01-20,12
2016-01-21,03
2016-01-21,03
2016-01-22,11
2016-01-22,03
2016-01-25,03
2016-01-25,03
2016-01-26,03
2016-01-26,03
2016-01-26,03
2016-01-27,03
2016-01-27,03
2016-01-27,03
2016-01-27,03
2016-01-27,03
2016-01-27,03
2016-01-28,11
2016-01-28,03
2016-01-28,11
2016-01-28,12
2016-01-28,03
2016-01-29,03
2016-01-29,03
2016-02-02,03
2016-02-02,11
2016-02-02,03
2016-02-02,03
2016-02-02,03
2016-02-03,03
2016-02-03,03
2016-02-03,11
2016-02-03,03
2016-02-03,11
2016-02-03,03
2016-02-03,11
2016-02-03,11
2016-02-04,03
2016-02-04,03
2016-02-04,03
2016-02-05,03
2016-02-05,03
2016-02-05,03
2016-02-08,03
2016-02-08,03
2016-02-09,03
2016-02-10,03
2016-02-10,11
2016-02-10,03
2016-02-10,03
2016-02-10,11
2016-02-10,03
2016-02-10,11
2016-02-11,11
2016-02-11,03
2016-02-11,03
2016-02-11,12
2016-02-15,03
2016-02-15,03
2016-02-16,03
2016-02-16,11
2016-02-16,12
2016-02-16,03
2016-02-17,03
2016-02-17,11
2016-02-18,11
2016-02-18,03
2016-02-18,11
2016-02-19,03
2016-02-23,03
2016-02-23,03
2016-02-23,11
2016-02-23,11
2016-02-24,03
2016-02-24,03
2016-02-25,03
2016-02-25,12
2016-02-25,03
2016-02-25,03
2016-03-01,03
2016-03-01,03
2016-03-01,03
2016-03-01,03
2016-03-01,03
2016-03-02,03
2016-03-02,03
2016-03-03,03
2016-03-03,03
2016-03-03,03
2016-03-07,12
2016-03-07,03
2016-03-07,03
2016-03-08,03
2016-03-08,03
2016-03-08,11
2016-03-09,11
2016-03-09,03
2016-03-09,03
2016-03-09,03
2016-03-09,03
2016-03-09,03
2016-03-09,11
2016-03-10,03
2016-03-10,11
2016-03-10,03
2016-03-10,03
2016-03-10,22
2016-03-14,03
2016-03-14,03
2016-03-14,21
2016-03-15,03
2016-03-15,03
2016-03-15,03
2016-03-16,03
2016-03-16,11
2016-03-16,12
2016-03-16,03
2016-03-16,03
2016-03-16,11
2016-03-16,11
2016-03-16,03
2016-03-17,03
2016-03-17,03
2016-03-18,03
2016-03-18,03
2016-03-18,03
2016-03-21,03
2016-03-21,03
2016-03-21,03
2016-03-21,03
2016-03-22,03
2016-03-22,03
2016-03-22,12
2016-03-22,11
2016-03-23,03
2016-03-23,03
2016-03-24,03
2016-03-24,03
2016-03-29,11
2016-03-29,03
2016-03-29,03
2016-03-29,11
2016-03-29,11
2016-03-30,03
2016-03-30,03
2016-03-30,11
2016-03-30,11
2016-03-31,03
2016-03-31,03
2016-03-31,11
2016-03-31,03
2016-03-31,03
2016-04-01,03
2016-04-01,03
2016-04-01,03
2016-04-04,03
2016-04-04,03
2016-04-04,11
2016-04-04,03
2016-04-04,11
2016-04-04,03
2016-04-05,12
2016-04-05,03
2016-04-05,11
2016-04-05,03
2016-04-06,03
2016-04-06,03
2016-04-06,03
2016-04-07,03
2016-04-11,11
2016-04-11,03
2016-04-11,03
2016-04-12,11
2016-04-12,11
2016-04-12,03
2016-04-12,03
2016-04-13,11
2016-04-13,03
2016-04-13,12
2016-04-13,11
2016-04-14,03
2016-04-14,03
2016-04-15,03
2016-04-15,11
2016-04-18,03
2016-04-18,03
2016-04-19,03
2016-04-19,11
2016-04-19,03
2016-04-19,11
2016-04-20,03
2016-04-20,11
2016-04-20,03
2016-04-20,03
2016-04-20,03
2016-04-20,03
2016-04-20,03
2016-04-21,11
2016-04-21,11
2016-04-22,12
2016-04-25,03
2016-04-25,03
2016-04-25,03
2016-04-25,03
2016-04-26,03
2016-04-26,11
2016-04-27,03
2016-04-27,03
2016-04-27,03
2016-04-27,11
2016-04-27,11
2016-05-02,11
2016-05-02,03
2016-05-03,03
2016-05-03,03
2016-05-03,03
2016-05-04,03
2016-05-04,03
2016-05-04,03
2016-05-04,11
2016-05-09,03
2016-05-10,11
2016-05-10,03
2016-05-10,03
2016-05-10,03
2016-05-10,12
2016-05-10,12
2016-05-11,03
2016-05-11,11
2016-05-11,03
2016-05-12,11
2016-05-13,11
2016-05-17,03
2016-05-17,03
2016-05-18,12
2016-05-18,11
2016-05-18,03
2016-05-18,03
2016-05-18,03
2016-05-19,11
2016-05-19,11
2016-05-19,03
2016-05-19,11
2016-05-19,11
2016-05-19,03
2016-05-20,03
2016-05-20,03
2016-05-23,03
2016-05-23,03
2016-05-23,03
2016-05-23,03
2016-05-23,11
2016-05-24,11
2016-05-24,03
2016-05-24,03
2016-05-24,03
2016-05-25,11
2016-05-25,03
2016-05-25,03
2016-05-25,12
2016-05-26,03
2016-05-26,03
2016-05-26,03
2016-05-27,03
2016-05-30,03
2016-05-30,03
2016-05-30,03
2016-05-31,03
2016-05-31,11
2016-05-31,03
2016-05-31,03
2016-05-31,03
2016-05-31,03
2016-06-01,11
2016-06-01,12
2016-06-01,12
2016-06-02,03
2016-06-02,03
2016-06-02,03
2016-06-03,03
2016-06-03,03
2016-06-03,03
2016-06-06,03
2016-06-06,03
2016-06-07,11
2016-06-07,03
2016-06-07,11
2016-06-07,03
2016-06-07,12
2016-06-07,11
2016-06-08,03
2016-06-08,11
2016-06-08,11
2016-06-08,03
2016-06-08,03
2016-06-08,03
2016-06-08,03
2016-06-09,03
2016-06-09,03
2016-06-09,03
2016-06-13,03
2016-06-13,11
2016-06-13,11
2016-06-13,11
2016-06-14,03
2016-06-14,11
2016-06-14,11
2016-06-15,03
2016-06-15,11
2016-06-15,03
2016-06-15,03
2016-06-15,03
2016-06-15,03
2016-06-16,11
2016-06-16,03
2016-06-16,03
2016-06-17,03
2016-06-17,03
2016-06-17,11
2016-06-20,11
2016-06-20,11
2016-06-21,11
2016-06-21,03
2016-06-21,03
2016-06-21,03
2016-06-21,03
2016-06-21,03
2016-06-22,12
2016-06-22,03
2016-06-22,03
2016-06-22,03
2016-06-23,11
2016-06-23,11
2016-06-24,12
2016-06-24,03
2016-06-27,03
2016-06-27,03
2016-06-27,03
2016-06-27,11
2016-06-27,12
2016-06-28,03
2016-06-28,03
2016-06-28,11
2016-06-28,12
2016-06-28,03
2016-06-28,11
2016-06-28,11
2016-06-28,03
2016-06-29,03
2016-06-29,03
2016-06-29,03
2016-06-29,03
2016-06-30,12
2016-06-30,03
2016-06-30,03
2016-06-30,03
2016-06-30,03
2016-06-30,11
2016-07-01,03
2016-07-01,03
2016-07-01,03
2016-07-01,03
2016-07-04,12
2016-07-04,03
2016-07-04,11
2016-07-04,03
2016-07-04,03
2016-07-04,11
2016-07-04,11
2016-07-05,03
2016-07-05,03
2016-07-05,12
2016-07-05,03
2016-07-05,11
2016-07-05,11
2016-07-05,03
2016-07-05,03
2016-07-05,03
2016-07-06,03
2016-07-06,03
2016-07-06,11
2016-07-06,03
2016-07-06,03
2016-07-07,03
2016-07-07,03
2016-07-07,03
2016-07-08,03
2016-07-11,03
2016-07-12,03
2016-07-12,03
2016-07-12,03
2016-07-12,12
2016-07-12,03
2016-07-12,11
2016-07-12,03
2016-07-12,11
2016-07-12,11
2016-07-12,03
2016-07-13,03
2016-07-13,03
2016-07-13,11
2016-07-13,03
2016-07-13,03
2016-07-18,03
2016-07-18,03
2016-07-18,03
2016-07-19,12
2016-07-19,11
2016-07-19,03
2016-07-19,03
2016-07-20,11
2016-07-20,03
2016-07-20,03
2016-07-20,03
2016-07-20,11
2016-07-20,03
2016-07-21,03
2016-07-21,03
2016-07-21,03
2016-07-21,03
2016-07-21,03
2016-07-22,03
2016-07-22,11
2016-07-22,03
2016-07-25,11
2016-07-25,03
2016-07-25,03
2016-07-25,03
2016-07-25,11
2016-07-25,11
2016-07-25,11
2016-07-26,03
2016-07-26,03
2016-07-26,03
2016-07-26,03
2016-07-26,11
2016-07-26,03
2016-07-26,12
2016-07-27,11
2016-07-27,11
2016-07-27,03
2016-07-27,11
2016-07-28,11
2016-07-29,03
2016-07-29,03
2016-08-01,03
2016-08-02,12
2016-08-02,12
2016-08-02,03
2016-08-03,03
2016-08-04,03
2016-08-04,11
2016-08-04,03
2016-08-04,03
2016-08-04,11
2016-08-04,03
2016-08-04,03
2016-08-04,11
2016-08-05,12
2016-08-09,03
2016-08-09,03
2016-08-09,12
2016-08-09,03
2016-08-09,11
2016-08-09,03
2016-08-09,03
2016-08-10,12
2016-08-10,03
2016-08-12,11
2016-08-18,03
2016-08-22,03
2016-08-23,03
2016-08-23,03
2016-08-24,11
